"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.salesmanager.core.business.exception","/app/sm-core-model/src/main/java/com/salesmanager/core/business/exception/ServiceException.java","3","9","Avoid using redundant field initializer for 'exceptionType'","Performance","RedundantFieldInitializer"
"2","com.salesmanager.core.business.exception","/app/sm-core-model/src/main/java/com/salesmanager/core/business/exception/ServiceException.java","3","19","Avoid using redundant field initializer for 'messageCode'","Performance","RedundantFieldInitializer"
"1","com.salesmanager.core.model.catalog.product","/app/sm-core-model/src/main/java/com/salesmanager/core/model/catalog/product/Product.java","3","111","Avoid using redundant field initializer for 'preOrder'","Performance","RedundantFieldInitializer"
"2","com.salesmanager.core.model.catalog.product","/app/sm-core-model/src/main/java/com/salesmanager/core/model/catalog/product/Product.java","3","127","Avoid using redundant field initializer for 'productVirtual'","Performance","RedundantFieldInitializer"
"3","com.salesmanager.core.model.catalog.product","/app/sm-core-model/src/main/java/com/salesmanager/core/model/catalog/product/Product.java","3","130","Avoid using redundant field initializer for 'productShipeable'","Performance","RedundantFieldInitializer"
"4","com.salesmanager.core.model.catalog.product","/app/sm-core-model/src/main/java/com/salesmanager/core/model/catalog/product/Product.java","2","158","Avoid instantiating Integer objects. Call Integer.valueOf() instead.","Performance","IntegerInstantiation"
"1","com.salesmanager.core.model.catalog.product","/app/sm-core-model/src/main/java/com/salesmanager/core/model/catalog/product/ProductCriteria.java","3","15","Avoid using redundant field initializer for 'available'","Performance","RedundantFieldInitializer"
"2","com.salesmanager.core.model.catalog.product","/app/sm-core-model/src/main/java/com/salesmanager/core/model/catalog/product/ProductCriteria.java","3","23","Avoid using redundant field initializer for 'manufacturerId'","Performance","RedundantFieldInitializer"
"3","com.salesmanager.core.model.catalog.product","/app/sm-core-model/src/main/java/com/salesmanager/core/model/catalog/product/ProductCriteria.java","3","25","Avoid using redundant field initializer for 'ownerId'","Performance","RedundantFieldInitializer"
"1","com.salesmanager.core.model.catalog.product.attribute","/app/sm-core-model/src/main/java/com/salesmanager/core/model/catalog/product/attribute/ProductAttribute.java","3","57","Avoid using redundant field initializer for 'attributeDefault'","Performance","RedundantFieldInitializer"
"2","com.salesmanager.core.model.catalog.product.attribute","/app/sm-core-model/src/main/java/com/salesmanager/core/model/catalog/product/attribute/ProductAttribute.java","3","60","Avoid using redundant field initializer for 'attributeRequired'","Performance","RedundantFieldInitializer"
"3","com.salesmanager.core.model.catalog.product.attribute","/app/sm-core-model/src/main/java/com/salesmanager/core/model/catalog/product/attribute/ProductAttribute.java","3","66","Avoid using redundant field initializer for 'attributeDisplayOnly'","Performance","RedundantFieldInitializer"
"4","com.salesmanager.core.model.catalog.product.attribute","/app/sm-core-model/src/main/java/com/salesmanager/core/model/catalog/product/attribute/ProductAttribute.java","3","70","Avoid using redundant field initializer for 'attributeDiscounted'","Performance","RedundantFieldInitializer"
"1","com.salesmanager.core.model.catalog.product.attribute","/app/sm-core-model/src/main/java/com/salesmanager/core/model/catalog/product/attribute/ProductOptionValue.java","3","52","Avoid using redundant field initializer for 'productOptionDisplayOnly'","Performance","RedundantFieldInitializer"
"2","com.salesmanager.core.model.catalog.product.attribute","/app/sm-core-model/src/main/java/com/salesmanager/core/model/catalog/product/attribute/ProductOptionValue.java","3","63","Avoid using redundant field initializer for 'image'","Performance","RedundantFieldInitializer"
"1","com.salesmanager.core.model.catalog.product.image","/app/sm-core-model/src/main/java/com/salesmanager/core/model/catalog/product/image/ProductImage.java","3","67","Avoid using redundant field initializer for 'image'","Performance","RedundantFieldInitializer"
"1","com.salesmanager.core.model.catalog.product.manufacturer","/app/sm-core-model/src/main/java/com/salesmanager/core/model/catalog/product/manufacturer/Manufacturer.java","2","54","Avoid instantiating Integer objects. Call Integer.valueOf() instead.","Performance","IntegerInstantiation"
"1","com.salesmanager.core.model.catalog.product.price","/app/sm-core-model/src/main/java/com/salesmanager/core/model/catalog/product/price/FinalPrice.java","3","20","Avoid using redundant field initializer for 'discountedPrice'","Performance","RedundantFieldInitializer"
"2","com.salesmanager.core.model.catalog.product.price","/app/sm-core-model/src/main/java/com/salesmanager/core/model/catalog/product/price/FinalPrice.java","3","21","Avoid using redundant field initializer for 'originalPrice'","Performance","RedundantFieldInitializer"
"3","com.salesmanager.core.model.catalog.product.price","/app/sm-core-model/src/main/java/com/salesmanager/core/model/catalog/product/price/FinalPrice.java","3","22","Avoid using redundant field initializer for 'finalPrice'","Performance","RedundantFieldInitializer"
"4","com.salesmanager.core.model.catalog.product.price","/app/sm-core-model/src/main/java/com/salesmanager/core/model/catalog/product/price/FinalPrice.java","3","23","Avoid using redundant field initializer for 'discounted'","Performance","RedundantFieldInitializer"
"5","com.salesmanager.core.model.catalog.product.price","/app/sm-core-model/src/main/java/com/salesmanager/core/model/catalog/product/price/FinalPrice.java","3","24","Avoid using redundant field initializer for 'discountPercent'","Performance","RedundantFieldInitializer"
"6","com.salesmanager.core.model.catalog.product.price","/app/sm-core-model/src/main/java/com/salesmanager/core/model/catalog/product/price/FinalPrice.java","3","26","Avoid using redundant field initializer for 'discountEndDate'","Performance","RedundantFieldInitializer"
"1","com.salesmanager.core.model.catalog.product.price","/app/sm-core-model/src/main/java/com/salesmanager/core/model/catalog/product/price/ProductPrice.java","3","55","Dont create instances of already existing BigInteger and BigDecimal (ZERO, ONE, TEN)","Performance","BigIntegerInstantiation"
"2","com.salesmanager.core.model.catalog.product.price","/app/sm-core-model/src/main/java/com/salesmanager/core/model/catalog/product/price/ProductPrice.java","3","62","Avoid using redundant field initializer for 'defaultPrice'","Performance","RedundantFieldInitializer"
"1","com.salesmanager.core.model.catalog.product.relationship","/app/sm-core-model/src/main/java/com/salesmanager/core/model/catalog/product/relationship/ProductRelationship.java","3","37","Avoid using redundant field initializer for 'product'","Performance","RedundantFieldInitializer"
"2","com.salesmanager.core.model.catalog.product.relationship","/app/sm-core-model/src/main/java/com/salesmanager/core/model/catalog/product/relationship/ProductRelationship.java","3","41","Avoid using redundant field initializer for 'relatedProduct'","Performance","RedundantFieldInitializer"
"1","com.salesmanager.core.model.common","/app/sm-core-model/src/main/java/com/salesmanager/core/model/common/Criteria.java","3","6","Avoid using redundant field initializer for 'startIndex'","Performance","RedundantFieldInitializer"
"2","com.salesmanager.core.model.common","/app/sm-core-model/src/main/java/com/salesmanager/core/model/common/Criteria.java","3","7","Avoid using redundant field initializer for 'maxCount'","Performance","RedundantFieldInitializer"
"1","com.salesmanager.core.model.common","/app/sm-core-model/src/main/java/com/salesmanager/core/model/common/Delivery.java","3","56","Avoid using redundant field initializer for 'latitude'","Performance","RedundantFieldInitializer"
"2","com.salesmanager.core.model.common","/app/sm-core-model/src/main/java/com/salesmanager/core/model/common/Delivery.java","3","61","Avoid using redundant field initializer for 'longitude'","Performance","RedundantFieldInitializer"
"1","com.salesmanager.core.model.customer","/app/sm-core-model/src/main/java/com/salesmanager/core/model/customer/Customer.java","3","120","Avoid using redundant field initializer for 'delivery'","Performance","RedundantFieldInitializer"
"2","com.salesmanager.core.model.customer","/app/sm-core-model/src/main/java/com/salesmanager/core/model/customer/Customer.java","3","124","Avoid using redundant field initializer for 'billing'","Performance","RedundantFieldInitializer"
"1","com.salesmanager.core.model.customer.attribute","/app/sm-core-model/src/main/java/com/salesmanager/core/model/customer/attribute/CustomerOptionSet.java","3","44","Avoid using redundant field initializer for 'customerOption'","Performance","RedundantFieldInitializer"
"2","com.salesmanager.core.model.customer.attribute","/app/sm-core-model/src/main/java/com/salesmanager/core/model/customer/attribute/CustomerOptionSet.java","3","48","Avoid using redundant field initializer for 'customerOptionValue'","Performance","RedundantFieldInitializer"
"3","com.salesmanager.core.model.customer.attribute","/app/sm-core-model/src/main/java/com/salesmanager/core/model/customer/attribute/CustomerOptionSet.java","2","53","Avoid instantiating Integer objects. Call Integer.valueOf() instead.","Performance","IntegerInstantiation"
"1","com.salesmanager.core.model.generic","/app/sm-core-model/src/main/java/com/salesmanager/core/model/generic/SalesManagerEntity.java","3","95","StringBuffer (or StringBuilder).append is called consecutively without reusing the target variable.","Performance","ConsecutiveAppendsShouldReuse"
